A,01,2,0000000001,B100079365,19710202,測試乙,1,新北市範例區測試街2號,,R191979364,B,20190606,20241010,2
B,02,3,0000000002,C200158551,19720303,範例丙,2,桃園市和平區和平路3號,,S292058554,C,20200707,20241111,3
A,03,4,0000000003,D100237743,19730404,範例丁,1,台中市幸福區幸福街4號,,T192137746,D,20180808,,
B,04,5,0000000004,E200316939,19740505,虛構戊,2,台南市文化區文化路5號,,U292216932,A,20190909,20240113,1
A,05,6,0000000005,F800396127,19750606,虛構己,1,高雄市中央區中央街6號,,V192296126,B,20201010,20240214,2
B,06,1,0000000006,G200475319,19760707,測試甲,2,台北市測試區範例路7號,,W292375313,C,20181111,,
A,07,2,0000000007,H100554501,19770808,測試乙,1,新北市範例區測試街8號,,X192454502,D,20191212,20240416,4
B,08,3,0000000008,I200633693,19780909,範例丙,2,桃園市和平區和平路9號,,Y292533690,A,20200113,20240517,1
A,09,4,0000000009,J100712880,19791010,範例丁,1,台中市幸福區幸福街10號,,Z192612883,B,20180214,,
B,10,5,0000000010,K900792072,19801111,虛構戊,2,台南市文化區文化路11號,,A292692079,C,20190315,20240719,3
A,11,6,0000000011,L100871269,19811212,虛構己,1,高雄市中央區中央街12號,,B192771261,D,20200416,20240820,4
B,12,1,0000000012,M200950455,19820113,測試甲,2,台北市測試區範例路13號,,C292850457,A,20180517,,
A,13,2,0000000013,N101029645,19830214,測試乙,1,新北市範例區測試街14號,,D192929643,B,20190618,20241022,2
B,14,3,0000000014,O201108832,19840315,範例丙,2,桃園市和平區和平路15號,,E293008833,C,20200719,20241123,3
A,15,4,0000000015,P801188028,19850416,範例丁,1,台中市幸福區幸福街16號,,F193088027,D,20180820,,
B,16,5,0000000016,Q201267210,19860517,虛構戊,2,台南市文化區文化路17號,,G293167213,A,20190921,20240125,1
A,17,6,0000000017,R101346402,19870618,虛構己,1,高雄市中央區中央街18號,,H193246405,B,20201022,20240226,2
B,18,1,0000000018,S201425590,19880719,測試甲,2,台北市測試區範例路19號,,I293325597,C,20181123,,
A,19,2,0000000019,T101504782,19890820,測試乙,1,新北市範例區測試街20號,,J193404784,D,20191224,20240428,4
B,20,3,0000000020,U901583977,19900921,範例丙,2,桃園市和平區和平路21號,,K293483975,A,20200125,20240501,1
A,21,4,0000000021,V101663162,19911022,範例丁,1,台中市幸福區幸福街22號,,L193563163,B,20180226,,
B,22,5,0000000022,W201742359,19921123,虛構戊,2,台南市文化區文化路23號,,M293642359,C,20190327,20240703,3
A,23,6,0000000023,X101821548,19931224,虛構己,1,高雄市中央區中央街24號,,N193721541,D,20200428,20240804,4
B,24,1,0000000024,Y201900734,19940125,測試甲,2,台北市測試區範例路25號,,O293800738,A,20180501,,
A,25,2,0000000025,Z801979920,19950226,測試乙,1,新北市範例區測試街26號,,P193879927,B,20190602,20241006,2
B,26,3,0000000026,A202059111,19960327,範例丙,2,桃園市和平區和平路27號,,Q293959110,C,20200703,20241107,3
A,27,4,0000000027,B102138303,19970428,範例丁,1,台中市幸福區幸福街28號,,R194038306,D,20180804,,
B,28,5,0000000028,C202217491,19980501,虛構戊,2,台南市文化區文化路29號,,S294117494,A,20190905,20240109,1
A,29,6,0000000029,D102296688,19990602,虛構己,1,高雄市中央區中央街30號,,T194196681,B,20201006,20240210,2
B,30,1,0000000030,E902375878,19700703,測試甲,2,台北市測試區範例路31號,,U294275877,C,20181107,,
